#ZVView-data-copy:  30-May-2023 19:01:46
#=======================================
#
#name:   64-GD-155(N,G)64-GD-156,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  71
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0        66000         2000  # 1958,N.J.Pattenden       ## 21325019  #dY:3.0%   
    2.15507e-6      2.62541 
    2.15714e-6      2.62476 
    2.16473e-6      2.63254 
      2.173e-6      2.65819 
    2.18128e-6      2.70073 
    2.18956e-6      2.75955 
    2.19784e-6      2.83442 
    2.20529e-6      2.91564 
    2.21274e-6       3.0103 
    2.22157e-6      3.14062 
    2.22929e-6       3.2717 
    2.23702e-6      3.41981 
    2.24474e-6      3.58627 
    2.25257e-6      3.77525 
     2.2605e-6      3.98955 
    2.26843e-6       4.2292 
    2.27636e-6      4.49695 
    2.28435e-6      4.79827 
    2.29239e-6      5.13772 
    2.29843e-6      5.41875 
    2.30446e-6       5.7249 
    2.31049e-6      6.05866 
    2.31654e-6      6.42366 
    2.32259e-6      6.82289 
    2.32864e-6      7.25963 
    2.33469e-6      7.73801 
    2.34074e-6      8.26274 
    2.34478e-6      8.64094 
    2.35047e-6      9.21736 
    2.35616e-6      9.84869 
    2.36186e-6      10.5413 
    2.36755e-6      11.3023 
    2.37325e-6      12.1401 
    2.37894e-6      13.0641 
    2.38464e-6      14.0852 
    2.39033e-6      15.2158 
     2.3946e-6      16.1443 
    2.39887e-6      17.1493 
    2.40314e-6      18.2384 
    2.40742e-6      19.4203 
    2.41169e-6      20.7044 
    2.41596e-6      22.1012 
    2.42023e-6      23.6225 
     2.4245e-6      25.2813 
    2.42877e-6      27.0921 
    2.43304e-6      29.0707 
    2.43731e-6      31.2346 
    2.44158e-6       33.603 
    2.44585e-6      36.1967 
    2.45012e-6      39.0379 
    2.45439e-6      42.1504 
    2.45867e-6      45.5593 
    2.46294e-6      49.2904 
    2.46721e-6      53.3696 
    2.47148e-6      57.8227 
    2.47575e-6      62.6738 
    2.48002e-6      67.9445 
    2.48401e-6      73.2579 
    2.48785e-6      78.7515 
    2.49169e-6      84.6125 
    2.49682e-6      92.9942 
    2.50194e-6          102 
    2.50707e-6      111.578 
    2.51476e-6      126.829 
    2.53212e-6      162.831 
    2.53939e-6      177.083 
    2.54465e-6      186.546 
    2.55035e-6      195.604 
    2.55462e-6      201.416 
    2.55889e-6      206.261 
    2.56316e-6      210.044 
    2.56834e-6      213.112 
    2.57284e-6      214.372 
    2.57505e-6      214.509 
    2.57946e-6      213.844 
    2.58451e-6      211.596 
    2.58879e-6      208.535 
    2.59306e-6      204.505 
    2.59761e-6      199.259 
    2.60444e-6      189.874 
    2.61128e-6      179.137 
    2.62267e-6      159.637 
    2.63406e-6      139.906 
     2.6426e-6      125.874 
    2.64829e-6      117.111 
    2.65399e-6        108.9 
    2.65968e-6      101.276 
    2.66538e-6      94.2435 
    2.67107e-6      87.7924 
    2.67677e-6      81.8976 
    2.68246e-6      76.5256 
    2.68815e-6      71.6381 
    2.69385e-6      67.1948 
    2.69954e-6      63.1556 
    2.70524e-6      59.4817 
    2.71093e-6      56.1366 
    2.71663e-6      53.0869 
    2.72232e-6       50.302 
    2.72802e-6      47.7543 
