#ZVView-data-copy:  30-May-2023 20:43:01
#=======================================
#
#name:   64-GD-156(N,2N)64-GD-155,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  14
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
    7.82251e-5      1.55605 
    7.82515e-5      1.68487 
    7.82778e-5      1.82273 
    7.83042e-5      1.97028 
    7.83306e-5      2.12819 
    7.83608e-5       2.3223 
    7.83909e-5       2.5321 
    7.84211e-5      2.75892 
    7.84512e-5       3.0042 
    7.84814e-5      3.26953 
    7.85115e-5      3.55668 
    7.85417e-5       3.8676 
    7.85718e-5      4.20442 
     7.8602e-5      4.56956 
    7.86321e-5      4.96565 
    7.86623e-5      5.39566 
    7.86924e-5       5.8629 
    7.87226e-5      6.37106 
    7.87527e-5      6.92428 
    7.87829e-5      7.52722 
     7.8813e-5      8.18515 
    7.88432e-5      8.90401 
    7.88733e-5      9.69053 
    7.89035e-5      10.5524 
    7.89336e-5      11.4983 
    7.89638e-5      12.5384 
    7.89934e-5      13.6641 
    7.90228e-5      14.8935 
    7.90522e-5      16.2502 
    7.90718e-5      17.2333 
    7.90914e-5      18.2858 
     7.9111e-5       19.414 
    7.91306e-5      20.6246 
    7.91563e-5      22.3451 
    7.91819e-5      24.2396 
    7.92075e-5       26.331 
    7.92331e-5      28.6463 
    7.92502e-5      30.3297 
    7.92673e-5      32.1373 
    7.92914e-5       34.925 
    7.93075e-5      36.9542 
    7.93236e-5      39.1358 
    7.93397e-5      41.4853 
    7.93558e-5      44.0205 
    7.93718e-5      46.7614 
    7.93879e-5      49.7312 
     7.9404e-5      52.9567 
    7.94201e-5      56.4686 
    7.94362e-5      60.3028 
    7.94522e-5       64.501 
    7.94683e-5      69.1122 
    7.94844e-5      74.1936 
    7.95005e-5      79.8129 
    7.95166e-5      86.0496 
    7.95316e-5      92.5405 
    7.95457e-5      99.2427 
    7.95598e-5      106.654 
    7.95739e-5      114.874 
    7.95844e-5      121.637 
     7.9595e-5      128.973 
    7.96055e-5      136.942 
    7.96161e-5      145.611 
    7.96266e-5      155.052 
    7.96372e-5      165.347 
    7.96482e-5      177.145 
    7.96593e-5      190.088 
    7.96703e-5      204.298 
    7.96814e-5      219.908 
    7.96925e-5      237.063 
    7.97035e-5      255.915 
    7.97146e-5      276.632 
    7.97256e-5       299.39 
    7.97357e-5      322.007 
    7.97457e-5       346.61 
    7.97558e-5      373.353 
    7.97658e-5      402.391 
    7.97759e-5      433.884 
    7.97859e-5      467.994 
     7.9796e-5      504.881 
     7.9806e-5      544.703 
    7.98178e-5      595.231 
    7.98295e-5      650.224 
    7.98413e-5      709.898 
    7.98531e-5      774.443 
    7.98648e-5      844.015 
    7.98776e-5      925.356 
    7.98908e-5      1016.41 
    7.99041e-5       1114.1 
    7.99162e-5      1208.58 
    7.99323e-5      1342.66 
    7.99483e-5      1485.41 
    7.99684e-5       1674.6 
    7.99926e-5      1913.97 
    8.00488e-5      2490.71 
     8.0073e-5      2726.51 
    8.00971e-5      2942.49 
    8.01132e-5      3070.94 
    8.01292e-5      3183.98 
    8.01445e-5      3275.02 
    8.01598e-5      3348.38 
    8.01759e-5         3405 
     8.0192e-5      3439.34 
     8.0209e-5      3450.69 
