#ZVView-data-copy:  30-May-2023 21:59:27
#=======================================
#
#name:   40-ZR-94(N,A)38-SR-91,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  86
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
      0.003318            0       11.082        2.463  # 1968,W.M.Good+           ## 11876010  #dY:22.2%  
      0.003352            0        6.184        1.743  # 1968,W.M.Good+           ## 11876010  #dY:28.2%  
       0.00337            0        9.551        2.027  # 1968,W.M.Good+           ## 11876010  #dY:21.2%  
        0.0034       0.0001        6.001            1  # 1959,H.W.Newson+         ## 11452013  #dY:16.7%  
      0.003404            0        1.795        1.931  # 1968,W.M.Good+           ## 11876010  #dY:107.6% 
      0.003456            0       11.799        2.388  # 1968,W.M.Good+           ## 11876010  #dY:20.2%  
      0.003489            0        1.453        1.989  # 1968,W.M.Good+           ## 11876010  #dY:136.9% 
      0.003517            0        7.819        1.989  # 1968,W.M.Good+           ## 11876010  #dY:25.4%  
      0.003551            0        4.853        1.908  # 1968,W.M.Good+           ## 11876010  #dY:39.3%  
       0.00357            0        9.036        2.014  # 1968,W.M.Good+           ## 11876010  #dY:22.3%  
      0.003578            0        0.158         1.69  # 1968,W.M.Good+           ## 11876010  #dY:1069.6%
      0.003615            0       -0.047        1.785  # 1968,W.M.Good+           ## 11876010  #dY:3797.9%
      0.003646            0       12.503          2.5  # 1968,W.M.Good+           ## 11876010  #dY:20.0%  
      0.003654            0        7.119        2.188  # 1968,W.M.Good+           ## 11876010  #dY:30.7%  
      0.003695            0       14.747         1.86  # 1968,W.M.Good+           ## 11876010  #dY:12.6%  
        0.0037       0.0001            4            1  # 1959,H.W.Newson+         ## 11452013  #dY:25.0%  
      0.003742            0        7.501        2.374  # 1968,W.M.Good+           ## 11876010  #dY:31.6%  
      0.003753            0       11.787        1.685  # 1968,W.M.Good+           ## 11876010  #dY:14.3%  
      0.003831            0        5.255        2.715  # 1968,W.M.Good+           ## 11876010  #dY:51.7%  
      0.003852            0       10.968        1.963  # 1968,W.M.Good+           ## 11876010  #dY:17.9%  
      0.003912            0        5.661        3.023  # 1968,W.M.Good+           ## 11876010  #dY:53.4%  
      0.003933            0       10.151        2.241  # 1968,W.M.Good+           ## 11876010  #dY:22.1%  
      0.003974            0        8.109        1.294  # 1968,W.M.Good+           ## 11876010  #dY:16.0%  
         0.004       0.0001            5            1  # 1959,H.W.Newson+         ## 11452013  #dY:20.0%  
      0.004027            0       10.761         1.56  # 1968,W.M.Good+           ## 11876010  #dY:14.5%  
      0.004037            0        5.046        2.012  # 1968,W.M.Good+           ## 11876010  #dY:39.9%  
       0.00407            0       13.209        1.523  # 1968,W.M.Good+           ## 11876010  #dY:11.5%  
       0.00412            0        7.607        1.889  # 1968,W.M.Good+           ## 11876010  #dY:24.8%  
      0.004199            0        7.798        1.884  # 1968,W.M.Good+           ## 11876010  #dY:24.2%  
      0.004209            0        4.329        1.398  # 1968,W.M.Good+           ## 11876010  #dY:32.3%  
      0.004254            0        4.328        1.299  # 1968,W.M.Good+           ## 11876010  #dY:30.0%  
      0.004289            0       10.858        1.563  # 1968,W.M.Good+           ## 11876010  #dY:14.4%  
        0.0043       0.0001        6.101            1  # 1959,H.W.Newson+         ## 11452013  #dY:16.4%  
      0.004322            0        8.408        1.302  # 1968,W.M.Good+           ## 11876010  #dY:15.5%  
      0.004355            0        5.959         1.34  # 1968,W.M.Good+           ## 11876010  #dY:22.5%  
       0.00437            0        9.293        1.393  # 1968,W.M.Good+           ## 11876010  #dY:15.0%  
      0.004424            0        5.957         1.34  # 1968,W.M.Good+           ## 11876010  #dY:22.5%  
       0.00446            0        7.794        1.586  # 1968,W.M.Good+           ## 11876010  #dY:20.3%  
      0.004482            0        1.263        1.122  # 1968,W.M.Good+           ## 11876010  #dY:88.8%  
      0.004495            0        9.119        1.321  # 1968,W.M.Good+           ## 11876010  #dY:14.5%  
      0.004506            0        4.119        1.891  # 1968,W.M.Good+           ## 11876010  #dY:45.9%  
      0.004552            0       11.478        1.691  # 1968,W.M.Good+           ## 11876010  #dY:14.7%  
