#ZVView-data-copy:  30-May-2023 21:20:45
#=======================================
#
#name:   56-BA-138(N,A)54-XE-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  22
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.0: BA-138(N,EL)BA-138-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4507
#data...
#            X            Y
#          MeV        barns
         1e-11      20.0753 
   1.10304e-11      19.1492 
   1.21669e-11       18.269 
   1.34206e-11      17.4327 
   1.49078e-11      16.5829 
    1.6559e-11      15.7792 
   1.83941e-11      15.0186 
   2.04314e-11      14.2997 
   2.26957e-11      13.6198 
   2.52095e-11      12.9778 
   2.80032e-11       12.371 
   3.11048e-11      11.7986 
   3.45519e-11      11.2582 
   3.83789e-11      10.7489 
    4.2632e-11      10.2687 
    4.7354e-11      9.81682 
   5.26017e-11      9.39139 
    5.8428e-11      8.99165 
   6.49029e-11      8.61601 
   7.20917e-11      8.26373 
   8.06417e-11      7.91223 
   9.02058e-11      7.58466 
   1.00904e-10      7.27985 
   1.12871e-10      6.99667 
   1.26257e-10      6.73405 
   1.42228e-10      6.47632 
    1.6021e-10      6.23954 
   1.80476e-10      6.02232 
   2.04728e-10      5.81257 
   2.32239e-10      5.62229 
   2.65292e-10      5.44119 
   3.03066e-10      5.27882 
   3.48642e-10      5.12665 
   4.03881e-10      4.98579 
   4.71174e-10      4.85695 
   5.53556e-10      4.74055 
   6.59484e-10      4.63275 
   7.96807e-10      4.53512 
   9.76257e-10      4.44867 
    1.22155e-9      4.37149 
    1.57192e-9      4.30298 
    2.08025e-9      4.24461 
     2.8914e-9      4.19397 
    4.28024e-9      4.15182 
     6.9401e-9      4.11819 
    1.31284e-8      4.09265 
    2.52419e-8      4.07885 
       2.53e-8      4.07882 
    1.10924e-7      4.06687 
    1.64861e-5      3.97725 
    4.36481e-5       3.8637 
    7.64429e-5      3.76038 
   0.000117198       3.6651 
   0.000167516      3.57941 
   0.000233468       3.4996 
   0.000318028      3.42877 
   0.000432239      3.36446 
   0.000590684      3.30671 
    0.00064217       3.2934 
     0.0006458      3.29815 
   0.000646199      3.30516 
   0.000646446       3.3231 
    0.00064657       3.3445 
   0.000646708       3.3881 
   0.000646811      3.44217 
   0.000646914      3.52214 
   0.000646982      3.59341 
   0.000647051      3.68132 
    0.00064712      3.78731 
   0.000647197      3.92905 
   0.000647275      4.09406 
   0.000647361      4.30152 
   0.000647601      4.94634 
   0.000647703      5.19638 
   0.000647786       5.3633 
   0.000647863       5.4782 
   0.000647931      5.54042 
      0.000648      5.56187 
   0.000648068      5.54066 
   0.000648131       5.4851 
   0.000648203      5.38118 
   0.000648258      5.27782 
    0.00064833      5.11802 
    0.00064844      4.83493 
   0.000648612      4.37103 
   0.000648715      4.11679 
   0.000648808      3.91822 
    0.00064887      3.80434 
   0.000648932      3.70571 
   0.000648997      3.61768 
   0.000649066      3.54166 
   0.000649169      3.45565 
   0.000649275      3.39535 
   0.000649389      3.35454 
