#ZVView-data-copy:  30-May-2023 20:45:01
#=======================================
#
#name:   64-GD-157(N,G)64-GD-158,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  71
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0       264000         4500  # 1958,N.J.Pattenden       ## 21325021  #dY:1.7%   
     2.3924e-6      6.50114 
    2.44326e-6       6.2764 
    2.49509e-6      6.01081 
    2.53029e-6      5.80109 
    2.56599e-6      5.55579 
    2.59314e-6       5.3416 
    2.61625e-6      5.13708 
    2.64004e-6      4.90389 
    2.67898e-6      4.49136 
    2.69358e-6      4.35033 
    2.70332e-6      4.27613 
    2.71062e-6      4.23925 
    2.71792e-6      4.22647 
    2.72279e-6      4.23595 
    2.72912e-6      4.27621 
     2.7335e-6      4.32675 
    2.73788e-6      4.39952 
    2.74177e-6      4.48568 
    2.74542e-6       4.5872 
    2.74907e-6      4.71101 
    2.75272e-6      4.85928 
    2.75637e-6      5.03409 
    2.76002e-6       5.2374 
    2.76367e-6      5.47096 
    2.76732e-6      5.73619 
    2.77097e-6      6.03413 
    2.77462e-6      6.36532 
    2.77827e-6      6.72973 
    2.78192e-6      7.12669 
    2.78558e-6      7.55481 
    2.79044e-6      8.17029 
    2.79531e-6      8.83005 
     2.8031e-6      9.95307 
    2.81819e-6      12.1857 
    2.82539e-6       13.176 
    2.82987e-6      13.7381 
    2.83473e-6      14.2895 
     2.8396e-6      14.7696 
    2.84447e-6      15.1714 
    2.84934e-6      15.4911 
    2.85469e-6      15.7467 
    2.85956e-6      15.8938 
    2.86442e-6      15.9641 
    2.86686e-6      15.9724 
    2.87416e-6      15.9013 
    2.88146e-6      15.7087 
    2.88876e-6      15.4248 
    2.90093e-6      14.8263 
     2.9204e-6      13.7689 
      2.935e-6      13.0266 
     2.9496e-6      12.3754 
     2.9642e-6      11.8199 
     2.9788e-6        11.35 
    2.99341e-6      10.9519 
    3.00801e-6      10.6123 
    3.02699e-6      10.2403 
    3.04402e-6      9.95931 
    3.06541e-6      9.66074 
    3.08696e-6      9.40764 
    3.11951e-6      9.09272 
    3.15252e-6       8.8341 
    3.18584e-6        8.618 
    3.23078e-6      8.37825 
    3.27636e-6      8.17906 
    3.34586e-6      7.93416 
      3.417e-6      7.73371 
     3.5141e-6      7.51444 
    3.63927e-6      7.29171 
    3.79548e-6      7.07317 
    3.98632e-6      6.86158 
    4.24562e-6      6.63385 
    4.55368e-6       6.4185 
      4.953e-6      6.19397 
    5.46334e-6      5.96187 
    6.11129e-6      5.72059 
    6.98143e-6      5.44982 
    8.37606e-6      5.07385 
    1.01197e-5      4.61443 
    1.10847e-5      4.33163 
    1.18058e-5      4.09177 
    1.23994e-5      3.86695 
     1.2841e-5      3.67807 
    1.32991e-5      3.45709 
     1.3677e-5      3.25102 
    1.39671e-5      3.07555 
    1.42641e-5      2.87856 
    1.45666e-5       2.6595 
    1.50862e-5      2.25803 
    1.52455e-5      2.14505 
    1.53526e-5      2.08118 
    1.54062e-5      2.05537 
    1.54861e-5      2.02789 
     1.5546e-5      2.01896 
    1.55659e-5      2.01882 
    1.56111e-5      2.02485 
    1.56562e-5       2.0413 
    1.57013e-5      2.07062 
    1.57352e-5      2.10285 
     1.5767e-5      2.14269 
    1.57979e-5      2.19152 
    1.58287e-5        2.252 
    1.58595e-5      2.32598 
    1.58904e-5       2.4156 
     1.5911e-5      2.48526 
    1.59361e-5       2.5827 
    1.59612e-5      2.69566 
    1.59864e-5      2.82723 
    1.60052e-5      2.94101 
    1.60206e-5      3.04621 
    1.60389e-5      3.18889 
    1.60535e-5      3.32096 
      1.607e-5      3.49421 
    1.60837e-5      3.66372 
    1.60974e-5      3.86152 
    1.61066e-5      4.01186 
    1.61157e-5      4.17901 
    1.61248e-5      4.36467 
     1.6134e-5      4.57047 
    1.61431e-5      4.79787 
    1.61523e-5      5.04811 
    1.61614e-5      5.32213 
    1.61705e-5      5.62052 
    1.61797e-5       5.9435 
    1.61934e-5      6.47358 
    1.62071e-5      7.05641 
    1.62208e-5      7.68852 
     1.6237e-5      8.49464 
    1.62537e-5      9.38354 
    1.62715e-5      10.3982 
    1.62894e-5      11.4856 
    1.63031e-5      12.3821 
    1.63168e-5      13.3449 
    1.63305e-5      14.3924 
    1.63433e-5      15.4667 
    1.63561e-5      16.6578 
    1.63652e-5       17.595 
    1.63744e-5      18.6171 
    1.63835e-5      19.7369 
    1.63926e-5      20.9693 
    1.64018e-5      22.3311 
    1.64109e-5      23.8418 
    1.64201e-5      25.5241 
     1.6429e-5       27.355 
    1.64377e-5      29.3484 
    1.64442e-5      30.9981 
    1.64507e-5      32.7978 
    1.64572e-5      34.7654 
    1.64627e-5      36.5898 
    1.64695e-5      39.0167 
    1.64763e-5      41.6965 
     1.6483e-5      44.6626 
    1.64898e-5      47.9531 
    1.64965e-5      51.6112 
    1.65016e-5      54.6255 
    1.65067e-5      57.8973 
    1.65117e-5      61.4519 
    1.65163e-5      64.9038 
     1.6522e-5      69.6298 
    1.65277e-5      74.8305 
    1.65334e-5      80.5563 
    1.65391e-5      86.8616 
    1.65449e-5      93.8045 
    1.65506e-5      101.447 
    1.65563e-5      109.855 
    1.65609e-5      117.236 
    1.65661e-5      126.352 
    1.65714e-5      136.276 
    1.65766e-5      147.062 
    1.65819e-5      158.767 
    1.65871e-5      171.447 
    1.65918e-5      183.578 
    1.65965e-5      196.556 
    1.66011e-5      210.413 
    1.66058e-5      225.177 
    1.66105e-5      240.873 
    1.66175e-5      266.205 
    1.66245e-5      293.714 
    1.66314e-5      323.404 
    1.66384e-5      355.232 
    1.66454e-5      389.108 
    1.66548e-5      437.206 
    1.66641e-5      488.179 
    1.66781e-5      568.458 
    1.66991e-5      690.942 
    1.67084e-5      743.112 
    1.67178e-5      792.011 
    1.67271e-5      836.291 
    1.67364e-5      874.667 
    1.67434e-5      898.873 
    1.67504e-5      918.684 
    1.67574e-5      933.757 
    1.67644e-5      943.831 
    1.67726e-5      949.057 
    1.67745e-5      949.245 
    1.67817e-5      946.488 
    1.67887e-5      938.589 
    1.67952e-5      926.731 
    1.68041e-5      904.116 
    1.68111e-5      881.389 
    1.68204e-5      845.207 
    1.68297e-5      803.384 
     1.6839e-5      757.192 
     1.6853e-5      682.564 
    1.68764e-5      554.205 
     1.6888e-5      492.457 
    1.68974e-5      445.649 
    1.69067e-5      401.732 
    1.69137e-5      370.914 
    1.69207e-5      342.019 
    1.69277e-5      315.095 
    1.69347e-5      290.147 
    1.69417e-5       267.15 
    1.69487e-5      246.046 
    1.69545e-5       229.85 
    1.69615e-5      212.005 
    1.69685e-5      195.794 
    1.69755e-5      181.106 
    1.69823e-5      168.244 
    1.69888e-5      156.974 
    1.69953e-5      146.736 
    1.70019e-5      137.441 
    1.70084e-5      129.001 
    1.70149e-5      121.337 
    1.70214e-5      114.371 
     1.7028e-5      108.034 
    1.70339e-5      102.806 
    1.70417e-5      96.4598 
    1.70496e-5      90.7651 
    1.70575e-5      85.6403 
    1.70654e-5      81.0141 
    1.70732e-5      76.8246 
    1.70811e-5       73.018 
     1.7089e-5      69.5481 
    1.70995e-5      65.3767 
      1.711e-5       61.653 
     1.7121e-5      58.1357 
    1.71327e-5      54.8237 
    1.71444e-5      51.8532 
     1.7156e-5      49.1751 
    1.71677e-5      46.7492 
    1.71794e-5      44.5424 
     1.7191e-5      42.5271 
    1.72085e-5      39.8132 
    1.72237e-5      37.7182 
    1.72388e-5      35.8268 
     1.7254e-5      34.1114 
    1.72692e-5      32.5494 
    1.72919e-5      30.4533 
    1.73146e-5      28.6079 
    1.73298e-5      27.4962 
    1.73531e-5       25.945 
    1.73764e-5      24.5601 
    1.73998e-5      23.3171 
    1.74231e-5      22.1958 
    1.74464e-5      21.1798 
    1.74697e-5      20.2551 
    1.75047e-5       19.015 
     1.7531e-5      18.1838 
    1.75601e-5      17.3452 
    1.75893e-5      16.5842 
     1.7633e-5      15.5665 
    1.76768e-5      14.6733 
    1.77205e-5      13.8829 
    1.77642e-5      13.1783 
     1.7808e-5      12.5461 
    1.78517e-5      11.9751 
    1.78954e-5      11.4567 
    1.79537e-5      10.8347 
    1.80146e-5      10.2557 
     1.8078e-5      9.71526 
    1.81415e-5      9.22773 
    1.82049e-5      8.78438 
